Colony,Site,DATE,Method,VisitID
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",28/10/2003,SURV,335
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",29/10/2013,SURV,336
Area 7,Area 7,17/10/2016,SURV,337
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",01/04/2017,SURV,338
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",04/04/2013,SURV,339
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",05/01/2011,SURV,340
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",06/01/2012,SURV,341
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",08/04/2016,SURV,342
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",11/10/2010,SURV,343
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",13/10/2008,SURV,344
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",14/04/2011,SURV,345
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",17/04/2010,SURV,346
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",17/11/2005,SURV,347
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",18/12/2008,SURV,348
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",19/04/2014,SURV,349
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",19/11/2011,SURV,350
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",21/12/2013,SURV,351
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",22/12/2012,SURV,352
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",23/10/2014,SURV,353
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",24/03/2009,SURV,354
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",26/10/2012,SURV,355
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",26/12/2015,SURV,356
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",27/04/2012,SURV,357
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",27/10/2000,SURV,358
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",27/12/2016,SURV,359
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",28/10/2015,SURV,360
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",29/01/2010,SURV,361
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",29/10/2013,SURV,362
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",30/10/2009,SURV,363
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",30/10/2016,SURV,364
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",11/10/2010,SURV,365
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",13/10/2008,SURV,366
